Date,TLT,GLD,SPY,VIX
1991-09-20,,,,17.0799999237
1991-09-23,,,,16.3799991608
1991-09-24,,,,16.0400009155
1991-09-25,,,,15.6800003052
1991-09-26,,,,15.3500003815
1991-09-27,,,,16.3099994659
1991-09-30,,,,15.8500003815
1991-10-01,,,,14.8100004196
1991-10-02,,,,15.8100004196
1991-10-03,,,,17.0400009155
1991-10-04,,,,15.6300001144
1991-10-07,,,,18.5799999237
1991-10-08,,,,17.8099994659
1991-10-09,,,,18.5400009155
1991-10-10,,,,17.7999992371
1991-10-11,,,,17.6000003815
1991-10-14,,,,16.7099990845
1991-10-15,,,,16.2199993134
1991-10-16,,,,14.8500003815
1991-10-17,,,,16.3199996948
1991-10-18,,,,15.8699998856
1991-10-21,,,,16.6599998474
1991-10-22,,,,16.5499992371
1991-10-23,,,,16.2600002289
1991-10-24,,,,15.6199998856
1991-10-25,,,,15.7500000000
1991-10-28,,,,15.4499998093
1991-10-29,,,,15.5500001907
1991-10-30,,,,15.4600000381
1991-10-31,,,,15.4799995422
1991-11-01,,,,15.6000003815
1991-11-04,,,,16.3500003815
1991-11-05,,,,16.4799995422
1991-11-06,,,,16.4699993134
1991-11-07,,,,15.9700002670
1991-11-08,,,,15.4300003052
1991-11-11,,,,14.8900003433
1991-11-12,,,,14.0399999619
1991-11-13,,,,13.9499998093
1991-11-14,,,,13.9600000381
1991-11-15,,,,21.1800003052
1991-11-18,,,,18.2800006866
1991-11-19,,,,20.3400001526
1991-11-20,,,,20.3999996185
1991-11-21,,,,19.1100006104
1991-11-22,,,,21.2000007629
1991-11-25,,,,21.9200000763
1991-11-26,,,,19.7999992371
1991-11-27,,,,19.8400001526
1991-11-29,,,,20.2600002289
1991-12-02,,,,20.1800003052
1991-12-03,,,,19.7000007629
1991-12-04,,,,19.5400009155
1991-12-05,,,,20.1900005341
1991-12-06,,,,19.0400009155
1991-12-09,,,,19.7399997711
1991-12-10,,,,19.8899993896
1991-12-11,,,,20.5699996948
1991-12-12,,,,19.0799999237
1991-12-13,,,,17.8799991608
1991-12-16,,,,17.6200008392
1991-12-17,,,,18.1200008392
1991-12-18,,,,17.7800006866
1991-12-19,,,,17.9599990845
1991-12-20,,,,17.6499996185
1991-12-23,,,,16.6100006104
1991-12-24,,,,15.6700000763
1991-12-26,,,,15.4399995804
1991-12-27,,,,15.6999998093
1991-12-30,,,,17.6299991608
1991-12-31,,,,19.3099994659
1992-01-02,,,,18.9500007629
1992-01-03,,,,18.7500000000
1992-01-06,,,,18.9599990845
1992-01-07,,,,19.2299995422
1992-01-08,,,,18.7199993134
1992-01-09,,,,18.9599990845
1992-01-10,,,,18.4500007629
1992-01-13,,,,18.0100002289
1992-01-14,,,,17.0100002289
1992-01-15,,,,17.3899993896
1992-01-16,,,,17.6399993896
1992-01-17,,,,16.3199996948
1992-01-20,,,,16.4200000763
1992-01-21,,,,17.9200000763
1992-01-22,,,,16.7500000000
1992-01-23,,,,16.4599990845
1992-01-24,,,,16.2399997711
1992-01-27,,,,16.6700000763
1992-01-28,,,,17.6700000763
1992-01-29,,,,17.6200008392
1992-01-30,,,,17.4899997711
1992-01-31,,,,17.3999996185
1992-02-03,,,,18.2000007629
1992-02-04,,,,17.9599990845
1992-02-05,,,,18.2199993134
1992-02-06,,,,18.7900009155
1992-02-07,,,,18.5100002289
1992-02-10,,,,18.5599994659
1992-02-11,,,,17.7000007629
1992-02-12,,,,17.3700008392
1992-02-13,,,,17.4500007629
1992-02-14,,,,17.0300006866
1992-02-18,,,,18.2199993134
1992-02-19,,,,17.1599998474
1992-02-20,,,,16.7199993134
1992-02-21,,,,16.8700008392
1992-02-24,,,,17.1299991608
1992-02-25,,,,16.3500003815
1992-02-26,,,,16.6399993896
1992-02-27,,,,16.5100002289
1992-02-28,,,,16.6800003052
1992-03-02,,,,16.8799991608
1992-03-03,,,,17.2600002289
1992-03-04,,,,17.8899993896
1992-03-05,,,,18.4699993134
1992-03-06,,,,19.7500000000
1992-03-09,,,,19.6800003052
1992-03-10,,,,18.6800003052
1992-03-11,,,,19.7900009155
1992-03-12,,,,19.7199993134
1992-03-13,,,,18.3500003815
1992-03-16,,,,18.4599990845
1992-03-17,,,,16.7900009155
1992-03-18,,,,16.6900005341
1992-03-19,,,,16.5200004578
1992-03-20,,,,16.8199996948
1992-03-23,,,,16.7299995422
1992-03-24,,,,16.3199996948
1992-03-25,,,,16.1900005341
1992-03-26,,,,16.2900009155
1992-03-27,,,,16.0200004578
1992-03-30,,,,15.9700002670
1992-03-31,,,,16.1800003052
1992-04-01,,,,16.4799995422
1992-04-02,,,,17.0599994659
1992-04-03,,,,16.7199993134
1992-04-06,,,,16.7199993134
1992-04-07,,,,18.8099994659
1992-04-08,,,,20.1499996185
1992-04-09,,,,17.8899993896
1992-04-10,,,,16.8500003815
1992-04-13,,,,16.9899997711
1992-04-14,,,,15.9799995422
1992-04-15,,,,15.1499996185
1992-04-16,,,,14.8500003815
1992-04-20,,,,15.9300003052
1992-04-21,,,,16.5300006866
1992-04-22,,,,15.9600000381
1992-04-23,,,,15.8299999237
1992-04-24,,,,15.7100000381
1992-04-27,,,,16.4899997711
1992-04-28,,,,16.2399997711
1992-04-29,,,,15.9499998093
1992-04-30,,,,15.5299997330
1992-05-01,,,,16.6100006104
1992-05-04,,,,16.9200000763
1992-05-05,,,,16.6599998474
1992-05-06,,,,16.8099994659
1992-05-07,,,,16.5400009155
1992-05-08,,,,15.6499996185
1992-05-11,,,,15.1700000763
1992-05-12,,,,15.6800003052
1992-05-13,,,,15.1899995804
1992-05-14,,,,15.4899997711
1992-05-15,,,,14.8199996948
1992-05-18,,,,14.6199998856
1992-05-19,,,,13.5699996948
1992-05-20,,,,13.6199998856
1992-05-21,,,,13.9200000763
1992-05-22,,,,13.7299995422
1992-05-26,,,,14.9200000763
1992-05-27,,,,13.9899997711
1992-05-28,,,,13.7700004578
1992-05-29,,,,13.8599996567
1992-06-01,,,,14.4300003052
1992-06-02,,,,14.5699996948
1992-06-03,,,,14.3500003815
1992-06-04,,,,13.6599998474
1992-06-05,,,,14.6499996185
1992-06-08,,,,15.1899995804
1992-06-09,,,,15.9700002670
1992-06-10,,,,16.6200008392
1992-06-11,,,,16.2900009155
1992-06-12,,,,14.9499998093
1992-06-15,,,,14.7600002289
1992-06-16,,,,15.2200002670
1992-06-17,,,,18.0799999237
1992-06-18,,,,18.2000007629
1992-06-19,,,,16.3099994659
1992-06-22,,,,16.6599998474
1992-06-23,,,,14.5299997330
1992-06-24,,,,14.3999996185
1992-06-25,,,,14.3999996185
1992-06-26,,,,14.6700000763
1992-06-29,,,,13.2100000381
1992-06-30,,,,13.3500003815
1992-07-01,,,,13.3400001526
1992-07-02,,,,13.8800001144
1992-07-06,,,,14.8699998856
1992-07-07,,,,15.8299999237
1992-07-08,,,,15.5299997330
1992-07-09,,,,14.6000003815
1992-07-10,,,,13.6999998093
1992-07-13,,,,14.0100002289
1992-07-14,,,,13.5000000000
1992-07-15,,,,12.5200004578
1992-07-16,,,,12.2700004578
1992-07-17,,,,12.6000003815
1992-07-20,,,,12.6599998474
1992-07-21,,,,12.6000003815
1992-07-22,,,,13.5699996948
1992-07-23,,,,13.3299999237
1992-07-24,,,,13.3699998856
1992-07-27,,,,13.8999996185
1992-07-28,,,,13.0500001907
1992-07-29,,,,13.4399995804
1992-07-30,,,,13.5000000000
1992-07-31,,,,13.1700000763
1992-08-03,,,,13.8299999237
1992-08-04,,,,13.5799999237
